"No.","Time","Delta time","Source","Source Port","Destination","Protocol","Destination Port","Length","Info"
"1","2010-06-12 10:36:00,136369","0.000000","192.168.2.106","3595","205.234.175.175","TCP","80","60","3595  >  80 [FIN, ACK] Seq=1 Ack=1 Win=17520 Len=0"
"2","2010-06-12 10:36:00,763098","0.626729","192.168.1.104","17053","192.150.8.118","TCP","80","60","17053  >  80 [FIN, ACK] Seq=1 Ack=1 Win=17520 Len=0"
"3","2010-06-12 10:36:02,075548","1.312450","192.168.1.104","17057","192.150.18.200","TCP","80","60","17057  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16298 Len=0"
"4","2010-06-12 10:36:02,247910","0.172362","192.168.2.113","1302","63.245.209.72","TCP","443","60","1302  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64059 Len=0"
"5","2010-06-12 10:36:06,234540","3.986630","192.168.2.110","2247","72.21.91.19","TCP","80","60","2247  >  80 [FIN, ACK] Seq=1 Ack=1 Win=63040 Len=0"
"6","2010-06-12 10:36:08,747195","2.512655","192.168.1.104","17053","192.150.8.118","TCP","80","60","[TCP Retransmission] 17053  >  80 [FIN, ACK] Seq=1 Ack=1 Win=17520 Len=0"
"7","2010-06-12 10:36:11,590832","2.843637","192.168.1.104","17057","192.150.18.200","TCP","80","60","[TCP Retransmission] 17057  >  80 [FIN, ACK] Seq=1 Ack=1 Win=16298 Len=0"
"8","2010-06-12 10:36:14,545221","2.954389","Ibm_8b:63:8e","","Alcatel-_87:f5:94","ARP","","60","192.168.2.111 is at 00:09:6b:8b:63:8e"
"9","2010-06-12 10:36:14,547598","0.002377","Ibm_bb:ce:df","","Alcatel-_87:f5:94","ARP","","60","192.168.1.103 is at 00:11:25:bb:ce:df"
"10","2010-06-12 10:36:16,901761","2.354163","192.168.1.101","138","192.168.1.255","BROWSER","138","243","Local Master Announcement TESTBED01, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"11","2010-06-12 10:36:17,408796","0.507035","192.168.5.122","143","192.168.3.116","IMAP","2756","71","Response: * OK Still here"
"12","2010-06-12 10:36:17,409004","0.000208","192.168.5.122","143","192.168.3.116","TCP","2756","71","[TCP Retransmission] 143  >  2756 [PSH, ACK] Seq=1 Ack=1 Win=7504 Len=17"
"13","2010-06-12 10:36:17,576168","0.167164","192.168.3.116","2756","192.168.5.122","TCP","143","60","2756  >  143 [ACK] Seq=1 Ack=18 Win=16228 Len=0"
"14","2010-06-12 10:36:18,510759","0.934591","192.168.2.106","3600","85.183.249.139","TCP","443","60","3600  >  443 [FIN, ACK] Seq=1 Ack=1 Win=16914 Len=0"
